Source,Back-translated,Score
"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.","During games you will have to listen to instructions, so make sure the speakers are on and the volume is to your liking. If you need to hear the instructions again, press the speaker button in the top corner of the screen.",15.62
the bulldozer,the excavator,46.15
Which stack of books will mom look in?,Which tower of books is the mother going to look in?,66.67
Choose the 12.,I chose 12.,72.0
Choose the card with a yellow shape.,I chose the card that has a yellow figure.,74.36
"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",Let's show you a puzzle. Your task is to choose the best piece to complete it. Let's get started!,78.3
the cat the cow chases is black,the cat that the cow is chasing is black,81.69
"Now, when Allie comes in from outside, where will she look first for her pencil?","Now, when Alejandra comes back from outside, where will she look for her pencil first?",84.34
the elephant is carrying them,the elephant carries them,85.19
The car that the truck followed is driving toward the tunnel.,The car that the truck followed goes towards the tunnel.,88.89
Sam is very happy to get his new socks.,Sam is very happy to receive his new socks.,90.24
Do you enjoy doing reading activities at school?,Do you like doing reading activities at school?,92.63
Choose the star on the black card.,I chose the star on the black card.,95.65
the locker,the locker,100.0
the cheese,the cheese,100.0
the tunnel,the tunnel,100.0
Choose the number you hear.,Choose the number you hear.,100.0
the coaster,the coaster,100.0
the big cup,the big cup,100.0
the steam,the steam,100.0
